"","y","m","grupo","valor","peso","my"
"1",2008,1,"Carbon",287840378.86,5406083970,Jan 2008
"2",2008,1,"Ferroníquel",197604557.68,239395171.66,Jan 2008
"3",2008,1,"Flores",58847402.3,14010752.8,Jan 2008
"4",2008,1,"Oro",36368609.74,1575.64,Jan 2008
"5",2008,2,"Carbon",274971165.55,4393644690,Feb 2008
"6",2008,2,"Ferroníquel",131369472.31,301003504,Feb 2008
"7",2008,2,"Flores",95614396.55,21189513.49,Feb 2008
"8",2008,2,"Oro",36195008.73,1451.68,Feb 2008
"9",2008,3,"Carbon",407097400.57,6697261102,Mar 2008
"10",2008,3,"Ferroníquel",29930256.17,225361032,Mar 2008
"11",2008,3,"Flores",76913030.5,17349675.66,Mar 2008
"12",2008,3,"Oro",35106203.3,1353.56,Mar 2008
"13",2008,4,"Carbon",447854894.16,6880418237.5,Apr 2008
"14",2008,4,"Ferroníquel",150672047.88,262806809,Apr 2008
"15",2008,4,"Flores",121125468.26,25405595.53,Apr 2008
"16",2008,4,"Oro",81218457.62,3155.98,Apr 2008
"17",2008,5,"Carbon",397293962.79,5696275840,May 2008
"18",2008,5,"Ferroníquel",93034408.43,183012877,May 2008
"19",2008,5,"Flores",98143825.31,17563980.76,May 2008
"20",2008,5,"Oro",76940496.22,3140.69,May 2008
"21",2008,6,"Carbon",443329338.34,6351156900,Jun 2008
"22",2008,6,"Ferroníquel",183679869.82,396864486,Jun 2008
"23",2008,6,"Flores",62552929.92,13868002.24,Jun 2008
"24",2008,6,"Oro",60195428.38,2479.92,Jun 2008
"25",2008,7,"Carbon",438783388.47,5825745660,Jul 2008
"26",2008,7,"Ferroníquel",160426389.87,268870014,Jul 2008
"27",2008,7,"Flores",104479747.49,20980808.13,Jul 2008
"28",2008,7,"Oro",98469476.98,3891.72,Jul 2008
"29",2008,8,"Carbon",329022160.17,4417090170,Aug 2008
"30",2008,8,"Ferroníquel",106755993.9,215681175.08,Aug 2008
"31",2008,8,"Flores",116467166.87,24444805.96,Aug 2008
"32",2008,8,"Oro",71084506.92,3041.01,Aug 2008
"33",2008,9,"Carbon",367874032.67,4512778383,Sep 2008
"34",2008,9,"Ferroníquel",61554645.54,147133045,Sep 2008
"35",2008,9,"Flores",68857632.4,14736587.58,Sep 2008
"36",2008,9,"Oro",100963169.85,4543.08,Sep 2008
"37",2008,10,"Carbon",421640642.25,5343313507,Oct 2008
"38",2008,10,"Ferroníquel",34858271.86,91664805.29,Oct 2008
"39",2008,10,"Flores",66675144.81,14569677.39,Oct 2008
"40",2008,10,"Oro",93796059.27,4063.66,Oct 2008
"41",2008,11,"Carbon",112960425.25,1270947627.9,Nov 2008
"42",2008,11,"Ferroníquel",19514506.69,22466186,Nov 2008
"43",2008,11,"Flores",47441885.92,10503412.54,Nov 2008
"44",2008,11,"Oro",62601162.17,3132.3,Nov 2008
"45",2008,12,"Carbon",552412784.16,3533308057,Dec 2008
"46",2008,12,"Ferroníquel",143754671.37,104330570,Dec 2008
"47",2008,12,"Flores",54734739.57,11964041.15,Dec 2008
"48",2008,12,"Oro",71948041.86,2864.17,Dec 2008
"49",2009,1,"Carbon",651945675.98,7663832645,Jan 2009
"50",2009,1,"Ferroníquel",72314502.95,57109543.43,Jan 2009
"51",2009,1,"Flores",32506836.26,7752931.45,Jan 2009
"52",2009,1,"Oro",70177259.16,3187.49,Jan 2009
"53",2009,2,"Carbon",306007189.02,4041290280,Feb 2009
"54",2009,2,"Ferroníquel",59266303.01,40399340,Feb 2009
"55",2009,2,"Flores",46999654.01,10798300.75,Feb 2009
"56",2009,2,"Oro",131489391.02,5542.08,Feb 2009
"57",2009,3,"Carbon",513091779.1,6345729320,Mar 2009
"58",2009,3,"Ferroníquel",67643399.04,52587791.77,Mar 2009
"59",2009,3,"Flores",79311490.92,19642741.44,Mar 2009
"60",2009,3,"Oro",114452205.08,4673.38,Mar 2009
"61",2009,4,"Carbon",394035709.48,5015658340,Apr 2009
"62",2009,4,"Ferroníquel",54187730.61,34853386,Apr 2009
"63",2009,4,"Flores",98535196.48,22451635.53,Apr 2009
"64",2009,4,"Oro",88800439.88,3662.67,Apr 2009
"65",2009,5,"Carbon",487458697.76,6219870197,May 2009
"66",2009,5,"Ferroníquel",36022583.34,64529477,May 2009
"67",2009,5,"Flores",114555831.77,21751688.87,May 2009
"68",2009,5,"Oro",87419428.49,3632.09,May 2009
"69",2009,6,"Carbon",419311240.44,5324464105,Jun 2009
"70",2009,6,"Ferroníquel",61246693.3,59714215.8,Jun 2009
"71",2009,6,"Flores",49532364.57,10761108.47,Jun 2009
"72",2009,6,"Oro",93568684.31,3746.3,Jun 2009
"73",2009,7,"Carbon",446665011.25,5855448001,Jul 2009
"74",2009,7,"Ferroníquel",77396640.66,123134432,Jul 2009
"75",2009,7,"Flores",122861751.98,24113048.86,Jul 2009
"76",2009,7,"Oro",113519318,4595.74,Jul 2009
"77",2009,8,"Carbon",355507985.51,4998698154,Aug 2009
"78",2009,8,"Ferroníquel",65701909.29,105477647,Aug 2009
"79",2009,8,"Flores",84637545.7,17385743.79,Aug 2009
"80",2009,8,"Oro",103407585.14,4086.27,Aug 2009
"81",2009,9,"Carbon",409000075.58,5129449930,Sep 2009
"82",2009,9,"Ferroníquel",69739257.43,82801532.22,Sep 2009
"83",2009,9,"Flores",107002359.9,21505726.42,Sep 2009
"84",2009,9,"Oro",137937046.19,5311.84,Sep 2009
"85",2009,10,"Carbon",364822804.87,5220228990,Oct 2009
"86",2009,10,"Ferroníquel",105275225.35,100922506,Oct 2009
"87",2009,10,"Flores",77210683.9,395296585.09,Oct 2009
"88",2009,10,"Oro",144551068.14,5444.21,Oct 2009
"89",2009,11,"Carbon",371045974.29,5191765913.7,Nov 2009
"90",2009,11,"Ferroníquel",99760900.43,124882512,Nov 2009
"91",2009,11,"Flores",50674659.64,11653907.84,Nov 2009
"92",2009,11,"Oro",167136391.84,5887.96,Nov 2009
"93",2009,12,"Carbon",417266746.04,5737304770,Dec 2009
"94",2009,12,"Ferroníquel",116356592.87,142054975.77,Dec 2009
"95",2009,12,"Flores",74742962.72,15659670.29,Dec 2009
"96",2009,12,"Oro",204635456.13,6937.63,Dec 2009
"97",2010,1,"Carbon",476468026.3,6046793820,Jan 2010
"98",2010,1,"Ferroníquel",81690906.53,118154688,Jan 2010
"99",2010,1,"Flores",57867887.23,12924343.76,Jan 2010
"100",2010,1,"Oro",137432803.75,4697.74,Jan 2010
"101",2010,2,"Carbon",369113681.99,5189863308,Feb 2010
"102",2010,2,"Ferroníquel",113694555.26,146674201,Feb 2010
"103",2010,2,"Flores",84913342.2,19232508.56,Feb 2010
"104",2010,2,"Oro",134873137.18,4794.52,Feb 2010
"105",2010,3,"Carbon",416741535.52,5319795050,Mar 2010
"106",2010,3,"Ferroníquel",90768015.92,145433050.84,Mar 2010
"107",2010,3,"Flores",133174479.69,27950452.82,Mar 2010
"108",2010,3,"Oro",167158084.15,5776.11,Mar 2010
"109",2010,4,"Carbon",434706168.89,5552592359,Apr 2010
"110",2010,4,"Ferroníquel",169059195.86,204513115,Apr 2010
"111",2010,4,"Flores",70212396.34,13279789.69,Apr 2010
"112",2010,4,"Oro",157805468.94,5427.76,Apr 2010
"113",2010,5,"Carbon",616279355.55,8185169804,May 2010
"114",2010,5,"Ferroníquel",126542144.06,121441149,May 2010
"115",2010,5,"Flores",127850025.19,22518132.75,May 2010
"116",2010,5,"Oro",163022141.14,5355.47,May 2010
"117",2010,6,"Carbon",515152824.28,6662591351,Jun 2010
"118",2010,6,"Ferroníquel",133175679.16,138963350,Jun 2010
"119",2010,6,"Flores",70578176.38,13597939.31,Jun 2010
"120",2010,6,"Oro",162141049.88,5066.78,Jun 2010
"121",2010,7,"Carbon",394715889.3,5364348520,Jul 2010
"122",2010,7,"Ferroníquel",118539546,138124371,Jul 2010
"123",2010,7,"Flores",92038523.52,18243544.55,Jul 2010
"124",2010,7,"Oro",118403504.31,3674.17,Jul 2010
"125",2010,8,"Carbon",514710317.14,6531347501,Aug 2010
"126",2010,8,"Ferroníquel",119705131.78,182069342.05,Aug 2010
"127",2010,8,"Flores",98994631.1,20053998.02,Aug 2010
"128",2010,8,"Oro",136549711.71,4345.09,Aug 2010
"129",2010,9,"Carbon",378556434.77,5021553923,Sep 2010
"130",2010,9,"Ferroníquel",91390555.07,100104731.59,Sep 2010
"131",2010,9,"Flores",81184869.73,16534002.12,Sep 2010
"132",2010,9,"Oro",179267873.51,5636.25,Sep 2010
